EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Martime Provinces,12/4/2007 0:00,0,0,0,0,0,12/4/2007 0:00,,,,,,,,50000,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Maritime Provinces,9/28/2008 0:00,0,0,0,0,0,9/28/2008 0:00,,,,,,,,120000,0
Disaster,Natural,Meteorological - Hydrological,Flood,Meat Cove NS,8/21/2010 0:00,0,0,126,3135000,161459.2,8/22/2010 0:00,3135000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Edmonton AB,7/18/2009 0:00,0,0,0,4500000,236014,7/18/2009 0:00,400000,4100000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Yarmouth County NS,11/4/2010 0:00,0,0,100,4118000,212085.8,11/10/2010 0:00,4118000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southwest Alberta,5/21/2008 0:00,0,0,0,7535000,396231.4,5/25/2008 0:00,1235000,6300000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Baie-Verte and Port Elgin NB,1/2/2010 0:00,0,0,0,627673,32326.5,1/3/2010 0:00,,,337716,145954,,144003,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Saskatchewan,6/29/2010 0:00,0,0,85,13239000,681836.9,7/2/2010 0:00,12881000,,,,358000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Lambton County ON,12/12/2010 0:00,1,1,625,0,0,12/14/2010 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick and Nova Scotia,12/13/2010 0:00,0,0,132,5000000,257510.7,12/13/2010 0:00,5000000,,,,,,,240000,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Midland ON,6/23/2010 0:00,0,20,0,17000000,875536.5,6/23/2010 0:00,,,1000000,,,16000000,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Across Canada ... concentrated in Saskatchewan and Alberta,6/1/2001 0:00,0,0,0,0,0,10/1/2002 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Leamington ON,6/6/2010 0:00,0,0,0,100000,5150.2,6/6/2010 0:00,,,100000,,,,,13500,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,North Battleford SK,7/22/2010 0:00,0,0,45,112000,5768.2,7/22/2010 0:00,112000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Newfoundland and Labrador,9/21/2010 0:00,1,0,300,85507690,4403829.5,9/21/2010 0:00,85507690,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,British Columbia,7/28/2010 0:00,2,0,1383,257339000,13253510.7,9/8/2010 0:00,37339000,,220000000,,,,,0,0
Disaster,Natural,Geological,Earthquake,Port-au-Prince ... Haiti,1/12/2010 0:00,58,31,4620,750000000,38626609.4,1/12/2010 0:00,,,,,750000000,,,0,7
Disaster,Natural,Meteorological - Hydrological,Drought,Southern Saskatchewan,1/1/1921 0:00,0,0,0,,,1/1/1921 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southeast YT,7/15/1974 0:00,0,0,0,,,7/15/1974 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northwestern British Columbia,10/29/1978 0:00,2,0,40,8277755,1357009,11/7/1978 0:00,3037970,5239785,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Vancouver ... Fraser Valley and the Greater Vancouver Regional Districts BC,1/6/2009 0:00,0,0,0,13191884,691882,1/8/2009 0:00,3591884,9600000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Quebec,1/9/2008 0:00,0,0,0,0,0,1/9/2008 0:00,,,,,,,,249000,0
Incident,Technology,Fire,Residential,Merville and Lang BC,1/1/1921 0:00,,,,,,1/1/1921 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Kicking Horse Pass ... Alberta - British Columbia border,11/1/1978 0:00,0,0,0,20087353,3293008.7,11/1/1978 0:00,7372141,12715212,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winisk ON,5/16/1986 0:00,2,0,129,,,5/16/1986 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,St. John's NL,2/8/1921 0:00,0,0,0,,,2/8/1921 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,North-central Alberta,7/13/1986 0:00,0,0,0,12843964,1174752.8,7/24/1986 0:00,6809368,6034596,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southcentral Quebec,3/28/1987 0:00,0,0,300,,,4/5/1987 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,County of Thorhild AB,5/12/2010 0:00,0,0,300,10000000,515021.5,5/12/2010 0:00,,,10000000,,,,,0,0
Disaster,Natural,Geological,Landslide,Britannia Beach BC,10/28/1921 0:00,37,0,0,,,10/28/1921 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Perth-Andover NB,4/2/1987 0:00,0,0,300,7872284,689543.1,4/2/1987 0:00,5660456,2211828,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Harrow ... Kent ... Essex ... Leamington counties ON,7/19/1989 0:00,0,0,0,13807000,1107513.4,7/20/1989 0:00,0,0,,,,13807000,,0,0
Incident,Technology,Explosion,Non-Residential,Comox BC,1/1/1922 0:00,18,0,0,,,1/1/1922 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Grande Prairie AB,8/23/1989 0:00,0,0,0,,,10/18/1989 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,6/6/1995 0:00,0,0,0,154623306,10590637.4,6/9/1995 0:00,34061897,9324782,12672842,76670115,,21893670,,0,0
